split,method,cycles,degraded_prevalence,precision,recall,f1,balanced_accuracy,roc_auc,average_precision,false_alarm_rate,tn,fp,fn,tp
validation,isolation_forest,290,0.6551724137931034,0.979381443298969,1.0,0.9895833333333334,0.98,1.0,1.0,0.04,96,4,0,190
validation,ts1_mean_threshold,290,0.6551724137931034,0.979381443298969,1.0,0.9895833333333334,0.98,1.0,1.0,0.04,96,4,0,190
test,isolation_forest,290,0.6551724137931034,0.9895833333333334,1.0,0.9947643979057592,0.99,1.0,1.0,0.02,98,2,0,190
test,ts1_mean_threshold,290,0.6551724137931034,0.9947643979057592,1.0,0.9973753280839895,0.995,1.0,1.0,0.01,99,1,0,190
